CoC Number,CoC Name,"Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
AR-501,Fayetteville/Northwest Arkansas CoC,668,446,222,379,202,177,289,244,45,65,27,38,47,9,38,18,18,0,147,90,57
AR-503,Arkansas  Balance of State  CoC,"1,678",422,"1,256","1,562",327,"1,235",116,95,21,105,53,52,103,53,50,2,0,2,42,23,19
AR-504,Delta Hills CoC,254,122,132,172,111,61,82,11,71,46,18,28,38,16,22,8,2,6,9,5,4
AR-505,Southeast Arkansas,64,63,1,34,33,1,30,30,0,4,4,0,4,4,0,0,0,0,0,0,0
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",82,48,34,41,21,20,41,27,14,9,0,9,9,0,9,0,0,0,4,4,0
AZ-500,Arizona Balance of State CoC,"2,435","1,386","1,049","1,448",575,873,987,811,176,329,168,161,239,120,119,90,48,42,389,264,125
AZ-501,Tucson/Pima County CoC,"2,238","1,737",501,"1,602","1,119",483,636,618,18,360,166,194,343,153,190,17,13,4,322,249,73
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,"5,889","4,308","1,581","3,460","1,968","1,492","2,429","2,340",89,499,186,313,482,177,305,17,9,8,511,388,123
CA-500,San Jose/Santa Clara City & County CoC,"7,631","1,957","5,674","6,564",946,"5,618","1,067","1,011",56,"2,518",259,"2,259","2,509",259,"2,250",9,0,9,718,139,579
CA-501,San Francisco CoC,"7,008","2,693","4,315","6,329","2,047","4,282",679,646,33,"2,093",583,"1,510","1,977",483,"1,494",116,100,16,716,294,422
CA-502,Oakland/Alameda County CoC,"4,264","1,927","2,337","2,922",803,"2,119","1,342","1,124",218,"1,054",200,854,931,171,760,123,29,94,492,139,353
CA-503,Sacramento City & County CoC,"2,538","1,752",786,"1,737",956,781,801,796,5,440,155,285,432,147,285,8,8,0,302,166,136
CA-504,Santa Rosa/Petaluma/Sonoma County CoC,"4,280",971,"3,309","3,829",574,"3,255",451,397,54,"1,168",134,"1,034","1,148",119,"1,029",20,15,5,400,57,343
CA-505,Richmond/Contra Costa County CoC,"2,000",671,"1,329","1,703",374,"1,329",297,297,0,754,160,594,714,141,573,40,19,21,188,53,135
CA-506,"Salinas/Monterey, San Benito Counties CoC","2,955",749,"2,206","2,292",367,"1,925",663,382,281,"1,038",178,860,866,85,781,172,93,79,250,89,161
CA-507,Marin County CoC,676,505,171,438,267,171,238,238,0,89,26,63,87,24,63,2,2,0,54,28,26
CA-508,Watsonville/Santa Cruz City & County CoC,"3,536",641,"2,895","2,992",298,"2,694",544,343,201,989,74,915,957,74,883,32,0,32,395,52,343
CA-509,Mendocino County CoC,"1,392",174,"1,218","1,267",129,"1,138",125,45,80,227,29,198,171,23,148,56,6,50,55,15,40
CA-510,Turlock/Modesto/Stanislaus County CoC,"1,201",556,645,941,459,482,260,97,163,205,65,140,127,61,66,78,4,74,87,44,43
CA-511,Stockton/San Joaquin County CoC,"1,541","1,278",263,794,556,238,747,722,25,204,137,67,178,114,64,26,23,3,83,61,22
CA-512,Daly/San Mateo County CoC,"1,995",696,"1,299","1,374",319,"1,055",621,377,244,889,32,857,715,29,686,174,3,171,245,114,131
CA-513,"Visalia, Kings, Tulare Counties CoC",705,409,296,547,259,288,158,150,8,187,11,176,143,11,132,44,0,44,43,14,29
CA-514,Fresno/Madera County CoC,"3,131",594,"2,537","2,421",286,"2,135",710,308,402,793,44,749,363,42,321,430,2,428,338,81,257
CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",908,385,523,689,211,478,219,174,45,222,39,183,202,35,167,20,4,16,92,32,60
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",851,504,347,631,361,270,220,143,77,199,87,112,125,54,71,74,33,41,203,117,86
CA-517,Napa City & County CoC,245,177,68,168,100,68,77,77,0,81,46,35,64,37,27,17,9,8,19,9,10
CA-518,Vallejo/Solano County CoC,"1,329",440,889,"1,163",326,837,166,114,52,414,109,305,291,102,189,123,7,116,88,55,33
CA-519,Chico/Paradise/Butte County CoC,712,289,423,599,186,413,113,103,10,312,48,264,312,48,264,0,0,0,101,46,55
CA-520,Merced City & County CoC,372,117,255,345,90,255,27,27,0,181,59,122,181,59,122,0,0,0,26,6,20
CA-521,Davis/Woodland/Yolo County CoC,474,276,198,345,147,198,129,129,0,134,37,97,134,37,97,0,0,0,44,24,20
CA-522,Humboldt County CoC,864,180,684,600,97,503,264,83,181,276,26,250,138,11,127,138,15,123,129,49,80
CA-523,"Colusa, Glenn, Trinity Counties CoC",696,272,424,487,151,336,209,121,88,303,85,218,252,53,199,51,32,19,67,25,42
CA-524,Yuba City & County/Sutter County CoC,"1,485","1,106",379,750,540,210,735,566,169,104,51,53,66,30,36,38,21,17,32,24,8
CA-525,El Dorado County CoC,180,131,49,141,96,45,39,35,4,55,17,38,47,11,36,8,6,2,6,5,1
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",376,136,240,257,32,225,119,104,15,130,20,110,130,20,110,0,0,0,37,9,28
CA-600,Los Angeles City & County CoC,"35,524","12,934","22,590","28,846","8,327","20,519","6,678","4,607","2,071","8,702","1,191","7,511","7,475",823,"6,652","1,227",368,859,"4,007","1,450","2,557"
CA-601,San Diego City and County CoC,"8,879","4,305","4,574","7,013","2,617","4,396","1,866","1,688",178,"2,531",234,"2,297","2,472",224,"2,248",59,10,49,"1,486",798,688
CA-602,Santa Ana/Anaheim/Orange County CoC,"4,251","2,573","1,678","2,712","1,037","1,675","1,539","1,536",3,829,156,673,797,129,668,32,27,5,446,177,269
CA-603,Santa Maria/Santa Barbara County CoC,"1,882",904,978,"1,464",596,868,418,308,110,913,379,534,693,257,436,220,122,98,124,48,76
CA-604,Bakersfield/Kern County CoC,"1,152",547,605,924,373,551,228,174,54,286,41,245,261,36,225,25,5,20,135,70,65
CA-606,Long Beach CoC,"2,847",968,"1,879","2,322",700,"1,622",525,268,257,"1,112",153,959,"1,026",149,877,86,4,82,527,363,164
CA-607,Pasadena CoC,772,379,393,503,209,294,269,170,99,217,12,205,205,0,205,12,12,0,61,16,45
CA-608,Riverside City & County CoC,"2,978","1,090","1,888","2,374",630,"1,744",604,460,144,"1,117",47,"1,070","1,025",30,995,92,17,75,285,104,181
CA-609,San Bernardino City & County CoC,"2,321","1,074","1,247","1,401",284,"1,117",920,790,130,596,114,482,513,80,433,83,34,49,184,52,132
CA-611,Oxnard/San Buenaventura/Ventura County CoC,"1,674",600,"1,074","1,294",374,920,380,226,154,797,62,735,710,56,654,87,6,81,140,22,118
CA-612,Glendale CoC,318,211,107,200,97,103,118,114,4,108,62,46,89,43,46,19,19,0,23,11,12
CA-613,Imperial County CoC,252,148,104,161,63,98,91,85,6,138,52,86,93,33,60,45,19,26,7,4,3
CA-614,San Luis Obispo County CoC,"2,357",235,"2,122","1,919",142,"1,777",438,93,345,707,37,670,629,37,592,78,0,78,260,24,236
CO-500,Colorado Balance of State CoC,"2,267","1,262","1,005","1,275",558,717,992,704,288,579,165,414,457,140,317,122,25,97,177,84,93
CO-503,Metropolitan Denver Homeless Initiative,"6,316","5,388",928,"2,609","1,952",657,"3,707","3,436",271,889,519,370,595,370,225,294,149,145,358,267,91
CO-504,Colorado Springs/El Paso County CoC,"1,171",941,230,780,565,215,391,376,15,312,162,150,302,155,147,10,7,3,150,101,49
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,"1,059",748,311,725,451,274,334,297,37,252,137,115,169,82,87,83,55,28,84,67,17
CT-505,Connecticut Balance of State CoC,"3,389","2,781",608,"2,376","1,824",552,"1,013",957,56,794,541,253,703,460,243,91,81,10,257,200,57
DC-500,District of Columbia CoC,"6,865","6,353",512,"3,696","3,184",512,"3,169","3,169",0,"2,027","1,566",461,"1,764","1,303",461,263,263,0,499,435,64
DE-500,Delaware Statewide CoC,946,936,10,575,565,10,371,371,0,71,68,3,65,62,3,6,6,0,89,86,3
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC","1,049",563,486,848,403,445,201,160,41,301,18,283,214,13,201,87,5,82,101,51,50
FL-501,Tampa/Hillsborough County CoC,"1,909",965,944,"1,326",653,673,583,312,271,506,145,361,426,131,295,80,14,66,170,76,94
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,"3,913","1,826","2,087","3,188","1,601","1,587",725,225,500,375,135,240,297,135,162,78,0,78,618,378,240
FL-503,Lakeland/Winter Haven/Polk County CoC,520,325,195,405,210,195,115,115,0,172,66,106,172,66,106,0,0,0,45,16,29
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC","2,176",693,"1,483","1,779",326,"1,453",397,367,30,259,3,256,259,3,256,0,0,0,380,51,329
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC","1,658",383,"1,275",567,220,347,"1,091",163,928,352,39,313,256,25,231,96,14,82,265,99,166
FL-506,Tallahassee/Leon County CoC,974,749,225,810,585,225,164,164,0,259,130,129,259,130,129,0,0,0,160,114,46
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC","4,378","2,321","2,057","3,055","1,284","1,771","1,323","1,037",286,"1,577",238,"1,339","1,332",233,"1,099",245,5,240,611,257,354
FL-508,"Gainesville/Alachua, Putnam Counties CoC","1,718",413,"1,305","1,074",331,743,644,82,562,528,226,302,401,142,259,127,84,43,300,152,148
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","2,240",224,"2,016",866,38,828,"1,374",186,"1,188",196,6,190,154,1,153,42,5,37,94,0,94
FL-510,"Jacksonville-Duval, Clay Counties CoC","2,768","1,671","1,097","1,938",963,975,830,708,122,365,186,179,276,120,156,89,66,23,324,204,120
FL-511,Pensacola/Escambia/Santa Rosa County CoC,945,563,382,789,419,370,156,144,12,243,53,190,234,44,190,9,9,0,168,95,73
FL-512,Saint Johns County CoC,"1,437",233,"1,204","1,103",121,982,334,112,222,56,8,48,56,8,48,0,0,0,49,12,37
FL-513,Palm Bay/Melbourne/Brevard County CoC,"1,567",707,860,"1,065",322,743,502,385,117,115,5,110,107,0,107,8,5,3,262,140,122
FL-514,Ocala/Marion County CoC,530,325,205,373,226,147,157,99,58,91,1,90,91,1,90,0,0,0,120,52,68
FL-515,"Panama City/Bay, Jackson Counties CoC",301,201,100,258,166,92,43,35,8,38,0,38,38,0,38,0,0,0,27,11,16
FL-517,"Hendry, Hardee, Highlands Counties CoC","3,847",136,"3,711","1,375",27,"1,348","2,472",109,"2,363",681,14,667,238,7,231,443,7,436,257,3,254
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC","1,278",81,"1,197",783,56,727,495,25,470,289,19,270,207,7,200,82,12,70,177,27,150
FL-519,Pasco County CoC,"3,305",105,"3,200","1,653",63,"1,590","1,652",42,"1,610","1,200",13,"1,187",815,13,802,385,0,385,368,35,333
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",709,303,406,438,175,263,271,128,143,46,5,41,38,5,33,8,0,8,49,25,24
FL-600,Miami/Dade County CoC,"3,802","2,963",839,"2,485","1,646",839,"1,317","1,317",0,618,199,419,613,194,419,5,5,0,253,193,60
FL-601,Ft Lauderdale/Broward County CoC,"2,810","1,981",829,"1,900","1,087",813,910,894,16,411,149,262,408,146,262,3,3,0,225,128,97
FL-602,Punta Gorda/Charlotte County CoC,573,186,387,429,85,344,144,101,43,211,19,192,191,10,181,20,9,11,109,21,88
FL-603,Ft Myers/Cape Coral/Lee County CoC,848,452,396,699,337,362,149,115,34,180,58,122,162,47,115,18,11,7,70,39,31
FL-604,Monroe County CoC,652,347,305,585,284,301,67,63,4,173,63,110,173,63,110,0,0,0,108,57,51
FL-605,West Palm Beach/Palm Beach County CoC,"1,559",612,947,"1,283",466,817,276,146,130,373,49,324,332,41,291,41,8,33,168,75,93
FL-606,Naples/Collier County CoC,396,342,54,285,236,49,111,106,5,32,26,6,29,23,6,3,3,0,27,17,10
GA-500,Atlanta Continuum of Care,"5,536","3,803","1,733","4,956","3,262","1,694",580,541,39,"1,431",629,802,"1,378",582,796,53,47,6,983,655,328
GA-501,Georgia Balance of State CoC,"7,651","2,334","5,317","5,271",688,"4,583","2,380","1,646",734,"1,136",169,967,848,130,718,288,39,249,496,58,438
GA-502,Fulton County Continuum of Care,428,298,130,206,76,130,222,222,0,55,12,43,55,12,43,0,0,0,33,22,11
GA-503,Athens/Clarke County CoC,213,118,95,171,76,95,42,42,0,67,22,45,67,22,45,0,0,0,15,3,12
GA-504,Augusta CoC,476,330,146,313,193,120,163,137,26,62,14,48,54,14,40,8,0,8,42,26,16
GA-505,Columbus-Muscogee/Russell County CoC,294,234,60,246,186,60,48,48,0,58,32,26,58,32,26,0,0,0,42,29,13
GA-506,Marietta/Cobb County CoC,495,351,144,263,141,122,232,210,22,60,16,44,52,16,36,8,0,8,59,25,34
GA-507,Savannah/Chatham County CoC,"1,165",543,622,"1,052",430,622,113,113,0,131,42,89,123,34,89,8,8,0,68,39,29
GA-508,DeKalb County Continuum of Care,713,499,214,402,198,204,311,301,10,82,0,82,78,0,78,4,0,4,67,43,24
GU-500,Guam CoC,"1,271",128,"1,143",296,35,261,975,93,882,290,1,289,51,1,50,239,0,239,32,2,30
HI-500,Hawaii Balance of State CoC,"1,779",654,"1,125","1,159",241,918,620,413,207,395,45,350,339,25,314,56,20,36,160,27,133
HI-501,Honolulu CoC,"4,556","3,091","1,465","2,196",901,"1,295","2,360","2,190",170,785,228,557,692,187,505,93,41,52,398,207,191
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",236,224,12,115,103,12,121,121,0,65,57,8,58,50,8,7,7,0,11,9,2
IA-501,Iowa Balance of State CoC,"1,920","1,859",61,833,774,59,"1,087","1,085",2,145,129,16,108,92,16,37,37,0,88,85,3
IA-502,Des Moines/Polk County CoC,928,867,61,576,515,61,352,352,0,117,72,45,111,66,45,6,6,0,130,126,4
ID-500,Boise/Ada County CoC,694,645,49,544,498,46,150,147,3,108,93,15,85,73,12,23,20,3,112,106,6
ID-501,Idaho Balance of State,"1,087",759,328,540,277,263,547,482,65,163,72,91,108,32,76,55,40,15,96,56,40
IL-500,McHenry County CoC,185,180,5,111,106,5,74,74,0,9,8,1,9,8,1,0,0,0,25,25,0
IL-501,"Rockford/Winnebago, Boone Counties CoC",788,501,287,406,294,112,382,207,175,268,153,115,184,121,63,84,32,52,45,32,13
IL-502,Waukegan/North Chicago/Lake County CoC,497,492,5,337,332,5,160,160,0,62,61,1,62,61,1,0,0,0,82,82,0
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,214,171,43,156,130,26,58,41,17,8,4,4,8,4,4,0,0,0,31,28,3
IL-504,Madison County CoC,201,173,28,46,29,17,155,144,11,7,1,6,7,1,6,0,0,0,7,4,3
IL-506,Joliet/Bolingbrook/Will County CoC,288,281,7,184,177,7,104,104,0,17,11,6,17,11,6,0,0,0,30,30,0
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",396,370,26,252,230,22,144,140,4,52,51,1,48,47,1,4,4,0,26,23,3
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,213,146,67,121,54,67,92,92,0,24,0,24,22,0,22,2,0,2,41,29,12
IL-509,Dekalb City & County CoC,107,104,3,46,43,3,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-510,Chicago CoC,"6,276","5,060","1,216","3,923","2,729","1,194","2,353","2,331",22,557,257,300,557,257,300,0,0,0,712,406,306
IL-511,Cook County CoC,"1,242","1,091",151,693,547,146,549,544,5,109,79,30,109,79,30,0,0,0,121,100,21
IL-512,Bloomington/Central Illinois CoC,536,420,116,353,293,60,183,127,56,62,57,5,57,52,5,5,5,0,15,7,8
IL-513,Springfield/Sangamon County CoC,280,270,10,181,171,10,99,99,0,87,78,9,67,58,9,20,20,0,23,22,1
IL-514,DuPage County CoC,665,636,29,295,266,29,370,370,0,74,69,5,69,64,5,5,5,0,19,16,3
IL-515,South Central Illinois CoC,149,130,19,40,29,11,109,101,8,21,10,11,16,7,9,5,3,2,4,3,1
IL-516,Decatur/Macon County CoC,247,190,57,144,95,49,103,95,8,69,38,31,42,27,15,27,11,16,12,10,2
IL-517,Aurora/Elgin/Kane County CoC,451,405,46,344,298,46,107,107,0,109,88,21,103,82,21,6,6,0,37,31,6
IL-518,Rock Island/Moline/Northwestern Illinois CoC,219,218,1,122,121,1,97,97,0,0,0,0,0,0,0,0,0,0,9,9,0
IL-519,West Central Illinois CoC,133,128,5,44,39,5,89,89,0,4,4,0,4,4,0,0,0,0,5,5,0
IL-520,Southern Illinois CoC,338,263,75,160,121,39,178,142,36,35,11,24,22,7,15,13,4,9,23,20,3
IN-500,South Bend/Mishawaka/St. Joseph County CoC,587,569,18,413,395,18,174,174,0,38,33,5,38,33,5,0,0,0,58,58,0
IN-502,Indiana Balance of State CoC,"3,910","3,348",562,"2,229","1,779",450,"1,681","1,569",112,360,239,121,309,191,118,51,48,3,365,299,66
IN-503,Indianapolis CoC,"1,599","1,479",120,"1,109",993,116,490,486,4,182,137,45,164,119,45,18,18,0,320,309,11
KS-502,Wichita/Sedgwick County CoC,538,467,71,360,289,71,178,178,0,91,67,24,91,67,24,0,0,0,56,48,8
KS-503,Topeka/Shawnee County CoC,439,416,23,269,250,19,170,166,4,83,76,7,67,60,7,16,16,0,65,63,2
KS-505,Overland Park/Shawnee/Johnson County CoC,213,196,17,25,22,3,188,174,14,4,2,2,4,2,2,0,0,0,0,0,0
KS-507,Kansas Balance of State CoC,"1,141","1,059",82,645,568,77,496,491,5,129,91,38,100,62,38,29,29,0,231,221,10
KY-500,Kentucky Balance of State CoC,"2,392","1,792",600,"1,316",899,417,"1,076",893,183,356,144,212,219,103,116,137,41,96,245,173,72
KY-501,Louisville/Jefferson County CoC,"1,445","1,382",63,950,887,63,495,495,0,145,116,29,139,110,29,6,6,0,171,167,4
KY-502,Lexington/Fayette County CoC,"1,408","1,317",91,"1,036",947,89,372,370,2,40,8,32,36,6,30,4,2,2,191,170,21
LA-500,Lafayette/Acadiana CoC,542,433,109,358,249,109,184,184,0,83,31,52,71,31,40,12,0,12,62,47,15
LA-502,Shreveport/Bossier/Northwest CoC,692,513,179,399,250,149,293,263,30,155,48,107,153,46,107,2,2,0,97,74,23
LA-503,New Orleans/Jefferson Parish CoC,"2,337","1,298","1,039","1,848",836,"1,012",489,462,27,677,90,587,649,88,561,28,2,26,211,119,92
LA-504,Baton Rouge CoC,833,723,110,799,689,110,34,34,0,112,28,84,56,14,42,56,14,42,96,48,48
LA-505,Monroe/Northeast Louisiana CoC,200,172,28,88,60,28,112,112,0,23,10,13,23,10,13,0,0,0,6,2,4
LA-506,Slidell/Southeast Louisiana CoC,276,241,35,151,122,29,125,119,6,31,25,6,31,25,6,0,0,0,49,47,2
LA-507,Alexandria/Central Louisiana CoC,118,87,31,92,63,29,26,24,2,9,3,6,7,3,4,2,0,2,24,22,2
LA-508,Houma-Terrebonne/Thibodaux CoC,125,115,10,73,63,10,52,52,0,15,9,6,15,9,6,0,0,0,17,17,0
LA-509,Louisiana Balance of State,103,69,34,100,69,31,3,0,3,10,1,9,10,1,9,0,0,0,13,7,6
MA-500,Boston CoC,"5,881","5,688",193,"2,541","2,348",193,"3,340","3,340",0,543,494,49,465,416,49,78,78,0,458,446,12
MA-502,Lynn CoC,468,453,15,99,89,10,369,364,5,53,43,10,53,43,10,0,0,0,13,11,2
MA-503,Cape Cod/Islands CoC,514,321,193,357,171,186,157,150,7,149,58,91,135,44,91,14,14,0,24,15,9
MA-504,Springfield CoC,"2,117","2,072",45,395,350,45,"1,722","1,722",0,332,304,28,95,67,28,237,237,0,33,32,1
MA-505,New Bedford CoC,337,318,19,230,214,16,107,104,3,32,25,7,32,25,7,0,0,0,51,50,1
MA-506,Worcester City & County CoC,"1,657","1,602",55,586,541,45,"1,071","1,061",10,69,48,21,58,37,21,11,11,0,184,175,9
MA-507,Pittsfield/Berkshire County CoC,678,638,40,493,456,37,185,182,3,117,85,32,93,64,29,24,21,3,244,244,0
MA-508,Lowell CoC,559,534,25,218,193,25,341,341,0,67,47,20,34,14,20,33,33,0,48,48,0
MA-509,Cambridge CoC,535,466,69,366,297,69,169,169,0,174,120,54,167,113,54,7,7,0,21,16,5
MA-510,Gloucester/Haverhill/Salem/Essex County CoC,"1,286","1,250",36,250,214,36,"1,036","1,036",0,146,127,19,113,94,19,33,33,0,15,13,2
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,"1,690","1,641",49,458,409,49,"1,232","1,232",0,171,153,18,134,116,18,37,37,0,94,94,0
MA-515,Fall River CoC,235,220,15,113,102,11,122,118,4,37,33,4,35,31,4,2,2,0,2,2,0
MA-516,Massachusetts Balance of State,"1,945","1,913",32,343,311,32,"1,602","1,602",0,66,50,16,48,32,16,18,18,0,57,51,6
MA-517,Somerville CoC,169,160,9,95,86,9,74,74,0,36,34,2,34,32,2,2,2,0,1,1,0
MA-518,Brookline/Newton CoC,707,682,25,81,56,25,626,626,0,113,93,20,71,51,20,42,42,0,6,5,1
MA-519,Attleboro/Taunton/Bristol County CoC,251,221,30,69,46,23,182,175,7,10,1,9,10,1,9,0,0,0,2,1,1
MD-500,Cumberland/Allegany County CoC,76,64,12,34,22,12,42,42,0,8,2,6,4,1,3,4,1,3,4,4,0
MD-501,Baltimore City CoC,"2,638","2,343",295,"1,988","1,733",255,650,610,40,226,137,89,211,135,76,15,2,13,293,272,21
MD-502,Harford County CoC,166,158,8,66,58,8,100,100,0,38,30,8,38,30,8,0,0,0,5,5,0
MD-503,Annapolis/Anne Arundel County CoC,400,315,85,258,181,77,142,134,8,63,41,22,48,26,22,15,15,0,27,18,9
MD-504,Howard County CoC,194,139,55,93,42,51,101,97,4,39,9,30,39,9,30,0,0,0,9,5,4
MD-505,Baltimore County CoC,919,464,455,569,179,390,350,285,65,261,137,124,245,130,115,16,7,9,81,45,36
MD-506,Carroll County CoC,134,127,7,82,75,7,52,52,0,27,23,4,27,23,4,0,0,0,7,7,0
MD-507,Cecil County CoC,234,188,46,173,137,36,61,51,10,38,21,17,38,21,17,0,0,0,83,78,5
MD-508,"Charles, Calvert, St.Mary's Counties CoC",833,338,495,388,169,219,445,169,276,292,144,148,149,65,84,143,79,64,41,27,14
MD-509,Frederick City & County CoC,275,206,69,171,102,69,104,104,0,58,23,35,58,23,35,0,0,0,13,7,6
MD-510,Garrett County CoC,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
MD-511,Mid-Shore Regional CoC,87,67,20,66,51,15,21,16,5,19,9,10,14,9,5,5,0,5,2,2,0
MD-512,Hagerstown/Washington County CoC,192,187,5,133,128,5,59,59,0,39,37,2,39,37,2,0,0,0,16,16,0
MD-513,Wicomico/Somerset/Worcester County CoC,360,319,41,239,208,31,121,111,10,51,44,7,48,41,7,3,3,0,33,29,4
MD-600,Prince George`s County/Maryland CoC,686,500,186,316,130,186,370,370,0,93,44,49,69,20,49,24,24,0,25,20,5
MD-601,Montgomery County CoC,"1,004",861,143,638,495,143,366,366,0,228,161,67,222,155,67,6,6,0,33,27,6
ME-500,Maine Balance of State CoC,"2,191","2,139",52,989,954,35,"1,202","1,185",17,78,78,0,72,72,0,6,6,0,121,108,13
ME-502,Portland CoC,825,815,10,574,564,10,251,251,0,98,98,0,87,87,0,11,11,0,43,42,1
MI-500,Michigan Balance of State CoC,"1,806","1,289",517,938,550,388,868,739,129,95,42,53,71,33,38,24,9,15,87,65,22
MI-501,Detroit CoC,"2,789","2,507",282,"2,314","2,036",278,475,471,4,291,183,108,274,166,108,17,17,0,518,507,11
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,380,358,22,200,178,22,180,180,0,20,14,6,20,14,6,0,0,0,33,29,4
MI-503,St. Clair Shores/Warren/Macomb County CoC,504,305,199,430,231,199,74,74,0,70,49,21,68,47,21,2,2,0,16,14,2
MI-504,Pontiac/Royal Oak/Oakland County CoC,698,610,88,477,389,88,221,221,0,64,49,15,60,45,15,4,4,0,22,21,1
MI-505,Flint/Genesee County CoC,387,270,117,241,124,117,146,146,0,25,12,13,20,7,13,5,5,0,26,19,7
MI-506,Grand Rapids/Wyoming/Kent County CoC,732,688,44,272,228,44,460,460,0,117,73,44,101,57,44,16,16,0,49,31,18
MI-507,Portage/Kalamazoo City & County CoC,642,611,31,327,296,31,315,315,0,48,47,1,23,22,1,25,25,0,23,22,1
MI-508,Lansing/East Lansing/Ingham County CoC,423,357,66,326,260,66,97,97,0,67,48,19,67,48,19,0,0,0,70,63,7
MI-509,Ann Arbor/Washtenaw County CoC,510,344,166,359,210,149,151,134,17,116,59,57,116,59,57,0,0,0,61,51,10
MI-510,Saginaw City & County CoC,350,343,7,175,168,7,175,175,0,16,15,1,16,15,1,0,0,0,16,15,1
MI-511,Lenawee County CoC,124,111,13,48,46,2,76,65,11,12,12,0,12,12,0,0,0,0,8,8,0
