CoC Number,CoC Name,"Total Homeless, 2007","Sheltered Homeless, 2007","Unsheltered Homeless, 2007","Homeless Individuals, 2007","Sheltered Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Homeless People in Families, 2007","Sheltered Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Chronically Homeless Individuals, 2007","Sheltered Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
AK-500,Anchorage CoC,974,842,132,696,589,107,278,253,25,224,187,37
AK-501,Alaska Balance of State CoC,668,545,123,366,302,64,302,243,59,54,34,20
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","2,104","1,240",864,"1,529",833,696,575,407,168,516,269,247
AL-501,Mobile City & County/Baldwin County CoC,649,410,239,499,260,239,150,150,0,84,10,74
AL-502,Florence/Northwest Alabama CoC,265,131,134,143,93,50,122,38,84,8,0,8
AL-503,Huntsville/North Alabama CoC,830,756,74,761,687,74,69,69,0,215,144,71
AL-504,Montgomery City & County CoC,456,331,125,392,270,122,64,61,3,108,39,69
AL-505,Gadsden/Northeast Alabama CoC,119,104,15,103,90,13,16,14,2,4,0,4
AL-506,Tuscaloosa City & County CoC,345,332,13,294,285,9,51,47,4,15,15,0
AL-507,Alabama Balance of State CoC,684,492,192,463,305,158,221,187,34,43,6,37
AR-500,Little Rock/Central Arkansas CoC,"1,822","1,187",635,"1,632","1,009",623,190,178,12,491,300,191
AR-501,Fayetteville/Northwest Arkansas CoC,279,244,35,157,133,24,122,111,11,34,25,9
AR-502,Conway/Arkansas River Valley,163,59,104,87,19,68,76,40,36,15,0,15
AR-504,Delta Hills CoC,901,391,510,626,347,279,275,44,231,228,43,185
AR-505,Southeast Arkansas,130,120,10,35,32,3,95,88,7,25,25,0
AR-506,"Johnson, Pope, Yell Counties",21,18,3,21,18,3,0,0,0,1,0,1
AR-508,Old Fort Homeless Coalition,194,147,47,157,111,46,37,36,1,35,15,20
AR-509,Hot Springs/South West Arkansas CoC,4,2,2,4,2,2,0,0,0,3,1,2
AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",322,117,205,268,95,173,54,22,32,20,0,20
AZ-500,Arizona Balance of State CoC,"2,997","1,013","1,984","2,235",532,"1,703",762,481,281,425,93,332
AZ-501,Tucson/Pima County CoC,"3,201","2,010","1,191","2,258","1,159","1,099",943,851,92,890,150,740
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,"8,448","5,595","2,853","5,527","2,732","2,795","2,921","2,863",58,"1,489",407,"1,082"
CA-500,San Jose/Santa Clara City & County CoC,"7,202","2,101","5,101","5,945","1,105","4,840","1,257",996,261,"1,757",223,"1,534"
CA-501,San Francisco CoC,"5,703","2,912","2,791","5,171","2,400","2,771",532,512,20,"1,735",738,997
CA-502,Oakland/Alameda County CoC,"4,838","2,342","2,496","3,026","1,257","1,769","1,812","1,085",727,"1,257",318,939
CA-503,Sacramento City & County CoC,"2,452","1,447","1,005","1,965",982,983,487,465,22,718,215,503
CA-504,Santa Rosa/Petaluma/Sonoma County CoC,"1,314",782,532,888,407,481,426,375,51,297,79,218
CA-505,Richmond/Contra Costa County CoC,"4,062",903,"3,159","2,892",332,"2,560","1,170",571,599,"1,225",88,"1,137"
CA-506,"Salinas/Monterey, San Benito Counties CoC","1,402",509,893,"1,149",262,887,253,247,6,336,27,309
CA-507,Marin County CoC,"1,002",602,400,846,465,381,156,137,19,172,41,131
CA-508,Watsonville/Santa Cruz City & County CoC,"2,789",486,"2,303","2,408",261,"2,147",381,225,156,"1,161",68,"1,093"
CA-509,Mendocino County CoC,"1,422",284,"1,138","1,192",164,"1,028",230,120,110,520,136,384
CA-510,Turlock/Modesto/Stanislaus County CoC,"1,593",634,959,"1,001",282,719,592,352,240,552,82,470
CA-511,Stockton/San Joaquin County CoC,"2,479","2,176",303,"1,657","1,417",240,822,759,63,201,144,57
CA-512,Daly/San Mateo County CoC,"1,798",704,"1,094","1,388",310,"1,078",410,394,16,475,25,450
CA-513,"Visalia, Kings, Tulare Counties CoC","1,106",280,826,537,168,369,569,112,457,49,6,43
CA-514,Fresno/Madera County CoC,"4,247","2,735","1,512","2,666","2,029",637,"1,581",706,875,941,629,312
CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",587,450,137,368,244,124,219,206,13,48,22,26
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",296,250,46,147,121,26,149,129,20,86,67,19
CA-517,Napa City & County CoC,365,219,146,236,114,122,129,105,24,150,52,98
CA-518,Vallejo/Solano County CoC,"1,956",457,"1,499",818,225,593,"1,138",232,906,524,31,493
CA-519,Chico/Paradise/Butte County CoC,"1,478",936,542,"1,057",589,468,421,347,74,353,188,165
CA-520,Merced City & County CoC,"2,641",221,"2,420","2,195",186,"2,009",446,35,411,701,0,701
CA-521,Davis/Woodland/Yolo County CoC,414,228,186,292,110,182,122,118,4,93,15,78
CA-522,Humboldt County CoC,907,322,585,366,139,227,541,183,358,219,29,190
CA-523,"Colusa, Glenn, Trinity Counties CoC",155,54,101,61,18,43,94,36,58,27,0,27
CA-524,Yuba City & County/Sutter County CoC,362,299,63,212,153,59,150,146,4,44,9,35
CA-525,El Dorado County CoC,107,91,16,65,54,11,42,37,5,8,7,1
