,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
AZ-502,"5,252","4,300","3,599",83.70%,"2,637","2,590",25,892,"3,061","2,191","2,637","1,961","1,429",72.90%,0,63,358,"1,227","1,410","2,590","2,590","2,314","2,145",92.70%,534,"1,834",756,25,25,25,25,100.00%,25,"3,013","3,013","3,013","3,005",99.70%,547,338,"1,077","1,936"
CA-500,"1,793","1,601","1,569",98.00%,675,"1,108",10,305,995,798,675,614,614,100.00%,471,0,75,280,395,"1,108","1,108",977,945,96.70%,230,715,393,10,10,10,10,100.00%,10,"2,106","2,106","2,106","2,064",98.00%,625,413,"1,326",780
CA-501,"2,561","2,434","2,192",90.10%,"1,792",744,25,193,675,"1,886","1,792","1,717","1,486",86.50%,189,0,97,365,"1,427",744,744,692,681,98.40%,96,310,434,25,25,25,25,100.00%,25,"6,710","6,710","6,710","6,274",93.50%,"3,568",514,"1,358","5,352"
CA-502,"2,390","2,154","1,081",50.20%,862,"1,528",0,443,"1,319","1,071",862,668,433,64.80%,245,33,122,387,475,"1,528","1,528","1,486",648,43.60%,321,932,596,0,0,0,0,0.00%,0,"2,286","2,286","2,286","1,660",72.60%,455,352,"1,074","1,212"
CA-503,"1,727","1,725","1,463",84.80%,706,"1,021",0,204,631,"1,096",706,704,562,79.80%,44,36,45,211,495,"1,021","1,021","1,021",901,88.20%,159,420,601,0,0,0,0,0.00%,0,"1,810","1,810","1,810","1,649",91.10%,402,284,920,890
CA-504,"1,198","1,145",925,80.80%,591,607,0,192,610,588,591,569,468,82.20%,25,57,59,223,368,607,607,576,457,79.30%,133,387,220,0,0,0,0,0.00%,0,542,542,502,480,95.60%,189,58,190,352
CA-505,911,852,575,67.50%,475,436,0,134,424,487,475,451,253,56.10%,77,0,40,140,335,436,436,401,322,80.30%,94,284,152,0,0,0,0,0.00%,0,955,955,955,790,82.70%,338,158,475,480
CA-506,"1,049","1,010",768,76.00%,281,768,0,118,489,560,281,242,135,55.80%,0,23,18,65,216,768,768,768,633,82.40%,100,424,344,0,0,0,0,0.00%,0,197,197,197,80,40.60%,15,23,73,124
CA-507,566,434,403,92.90%,170,396,0,76,312,254,170,170,170,100.00%,49,14,13,50,120,396,396,264,233,88.30%,63,262,134,0,0,0,0,0.00%,0,454,454,454,448,98.70%,153,20,84,370
CA-508,617,599,480,80.10%,331,286,0,122,398,219,331,313,252,80.50%,129,22,58,190,141,286,286,286,228,79.70%,64,208,78,0,0,0,0,0.00%,0,169,169,169,114,67.50%,127,7,21,148
CA-509,209,186,147,79.00%,108,101,0,32,79,130,108,93,92,98.90%,20,24,18,44,64,101,101,93,55,59.10%,14,35,66,0,0,0,0,0.00%,0,340,340,340,303,89.10%,0,163,198,142
CA-510,948,907,456,50.30%,471,477,0,159,472,476,471,446,180,40.40%,292,0,75,229,242,477,477,461,276,59.90%,84,243,234,0,0,0,0,0.00%,0,310,310,310,297,95.80%,147,42,135,175
CA-511,"3,108","3,060","1,268",41.40%,"2,379",729,0,324,"1,157","1,951","2,379","2,331",685,29.40%,250,118,152,590,"1,789",729,729,729,583,80.00%,172,567,162,0,0,0,0,0.00%,0,339,339,339,339,100.00%,121,32,91,248
CA-512,790,734,655,89.20%,130,660,0,115,505,285,130,108,75,69.40%,0,21,12,49,81,660,660,626,580,92.70%,103,456,204,0,0,0,0,0.00%,0,426,426,426,411,96.50%,252,42,116,310
CA-513,639,609,451,74.10%,234,405,0,65,227,412,234,204,154,75.50%,0,33,34,130,104,405,405,405,297,73.30%,31,97,308,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-514,"1,605","1,375",738,53.70%,713,868,24,289,925,680,713,531,142,26.70%,20,"3,034",95,392,321,868,868,820,572,69.80%,194,533,335,24,24,24,24,100.00%,24,367,367,367,360,98.10%,179,45,151,216
CA-515,621,527,248,47.10%,216,405,0,119,374,247,216,159,149,93.70%,40,20,32,123,93,405,405,368,99,26.90%,87,251,154,0,0,0,0,0.00%,0,89,89,89,72,80.90%,13,11,25,64
CA-516,445,445,445,100.00%,138,307,0,69,196,249,138,138,138,100.00%,0,41,4,46,92,307,307,307,307,100.00%,65,150,157,0,0,0,0,0.00%,0,44,44,44,44,100.00%,34,0,0,44
CA-517,214,176,170,96.60%,105,109,0,30,88,126,105,93,93,100.00%,50,105,11,40,65,109,109,83,77,92.80%,19,48,61,0,0,0,0,0.00%,0,60,60,60,60,100.00%,10,5,10,50
CA-518,322,275,132,48.00%,151,171,0,44,137,185,151,117,89,76.10%,0,49,29,88,63,171,171,158,43,27.20%,15,49,122,0,0,0,0,0.00%,0,122,122,122,66,54.10%,106,8,16,106
CA-519,385,367,216,58.90%,206,179,0,33,115,270,206,188,126,67.00%,0,10,9,25,181,179,179,179,90,50.30%,24,90,89,0,0,0,0,0.00%,0,152,152,152,135,88.80%,31,41,116,36
CA-520,263,248,150,60.50%,127,136,0,6,81,182,127,112,96,85.70%,0,50,3,52,75,136,136,136,54,39.70%,3,29,107,0,0,0,0,0.00%,0,108,108,108,4,3.70%,4,21,104,4
CA-521,257,232,178,76.70%,89,168,0,39,147,110,89,64,52,81.30%,35,22,8,33,56,168,168,168,126,75.00%,31,114,54,0,0,0,0,0.00%,0,130,130,130,9,6.90%,35,1,3,127
CA-522,323,313,243,77.60%,166,157,0,49,145,178,166,156,92,59.00%,32,77,12,32,134,157,157,157,151,96.20%,37,113,44,0,0,0,0,0.00%,0,45,45,45,22,48.90%,35,3,10,35
CA-523,97,76,52,68.40%,15,82,0,16,71,26,15,9,0,0.00%,28,0,2,12,3,82,82,67,52,77.60%,14,59,23,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-524,324,269,0,0.00%,108,216,0,38,171,153,108,65,0,0.00%,125,0,13,52,56,216,216,204,0,0.00%,25,119,97,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-525,161,127,0,0.00%,46,115,0,24,74,87,46,22,0,0.00%,0,11,11,29,17,115,115,105,0,0.00%,13,45,70,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-526,162,111,91,82.00%,117,45,0,32,116,46,117,90,70,77.80%,0,0,21,71,46,45,45,21,21,100.00%,11,45,0,0,0,0,0,0.00%,0,10,10,10,10,100.00%,0,0,0,10
CA-528,28,0,0,.,28,0,0,8,20,8,28,0,0,.,0,1,8,20,8,0,0,0,0,0.00%,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-600,"13,570","12,092","4,850",40.10%,"4,490","9,025",55,"1,322","4,231","9,339","4,490","3,927","1,954",49.80%,"1,492",255,356,"1,307","3,183","9,025","9,025","8,110","2,866",35.30%,966,"2,924","6,101",55,55,55,30,54.50%,55,"17,008","17,008","16,976","1,403",8.30%,"1,775","2,946","8,364","8,644"
CA-601,"2,366","2,126","2,046",96.20%,211,"2,108",47,238,866,"1,500",211,164,137,83.50%,506,112,20,111,100,"2,108","2,108","1,915","1,862",97.20%,218,755,"1,353",47,47,47,47,100.00%,47,847,847,847,654,77.20%,338,31,118,729
CA-602,"2,529","2,149","1,761",81.90%,485,"2,044",0,419,"1,503","1,026",485,302,209,69.20%,400,588,48,157,328,"2,044","2,044","1,847","1,552",84.00%,371,"1,346",698,0,0,0,0,0.00%,0,997,997,997,593,59.50%,487,133,295,702
CA-603,"1,041",913,545,59.70%,541,500,0,100,384,657,541,469,322,68.70%,256,40,52,208,333,500,500,444,223,50.20%,48,176,324,0,0,0,0,0.00%,0,448,448,448,190,42.40%,162,26,80,368
CA-604,705,612,483,78.90%,457,248,0,47,253,452,457,364,356,97.80%,0,96,39,229,228,248,248,248,127,51.20%,8,24,224,0,0,0,0,0.00%,0,646,646,646,631,97.70%,140,128,344,302
CA-605,227,189,169,89.40%,29,189,9,35,147,80,29,0,0,0.00%,130,0,10,29,0,189,189,180,160,88.90%,25,118,71,9,9,9,9,100.00%,9,116,116,116,97,83.60%,29,0,0,116
CA-606,958,788,343,0.435,347,586,25,106,401,557,347,285,103,0.361,130,94,39,161,186,586,586,478,215,0.45,67,240,346,25,25,25,25,1,25,439,439,439,286,0.651,196,42,159,280
CA-607,287,251,251,100.00%,142,145,0,30,149,138,142,106,106,100.00%,130,0,5,70,72,145,145,145,145,100.00%,25,79,66,0,0,0,0,0.00%,0,138,138,138,138,100.00%,50,12,38,100
CA-608,"1,496","1,268","1,268",100.00%,769,727,0,287,862,634,769,649,649,100.00%,72,0,147,378,391,727,727,619,619,100.00%,140,484,243,0,0,0,0,0.00%,0,364,364,364,364,100.00%,144,42,42,322
CA-609,866,636,483,75.90%,362,504,0,188,695,171,362,261,190,72.80%,60,230,61,249,113,504,504,375,293,78.10%,127,446,58,0,0,0,0,0.00%,0,194,194,194,134,69.10%,0,16,65,129
CA-610,"1,584","1,331","1,229",92.30%,219,"1,353",12,253,"1,023",561,219,119,93,78.20%,217,40,25,105,114,"1,353","1,353","1,200","1,124",93.70%,228,918,435,12,12,12,12,100.00%,12,526,526,526,430,81.70%,100,84,271,255
CA-611,355,355,69,19.40%,207,148,0,51,207,148,207,207,0,0.00%,100,24,14,103,104,148,148,148,69,46.60%,37,104,44,0,0,0,0,0.00%,0,44,44,44,7,15.90%,0,10,17,27
CA-612,148,138,138,100.00%,50,98,0,32,136,12,50,40,40,100.00%,150,0,2,38,12,98,98,98,98,100.00%,30,98,0,0,0,0,0,0.00%,0,138,138,138,62,44.90%,24,33,88,50
CA-613,206,206,186,90.30%,130,76,0,65,117,89,130,130,130,100.00%,0,8,41,41,89,76,76,76,56,73.70%,24,76,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-614,231,144,18,12.50%,141,90,0,32,89,142,141,101,0,0.00%,0,45,16,42,99,90,90,43,18,41.90%,16,47,43,0,0,0,0,0.00%,0,96,96,96,20,20.80%,17,1,2,94
CO-500,"1,253",818,693,84.70%,764,489,0,225,928,325,764,423,354,83.70%,40,42,120,515,249,489,489,395,339,85.80%,105,413,76,0,0,0,0,0.00%,0,195,195,195,188,96.40%,92,13,47,148
CO-503,"4,411","4,091","3,629",88.70%,"1,517","2,869",25,911,"2,316","2,095","1,517","1,234","1,013",82.10%,110,278,233,609,908,"2,869","2,869","2,832","2,591",91.50%,678,"1,707","1,162",25,25,25,25,100.00%,25,"2,252","2,252","2,252","1,879",83.40%,797,275,726,"1,526"
CO-504,756,716,608,84.90%,310,446,0,87,278,478,310,270,236,87.40%,0,65,18,67,243,446,446,446,372,83.40%,69,211,235,0,0,0,0,0.00%,0,187,187,187,138,73.80%,116,9,26,161
CT-500,138,125,125,100.00%,65,73,0,15,46,92,65,52,52,100.00%,40,0,8,25,40,73,73,73,73,100.00%,7,21,52,0,0,0,0,0.00%,0,108,108,108,107,99.10%,33,8,36,72
CT-501,694,673,597,88.70%,437,257,0,93,272,422,437,416,416,100.00%,75,46,56,182,255,257,257,257,181,70.40%,37,90,167,0,0,0,0,0.00%,0,681,681,681,544,79.90%,88,86,245,436
CT-502,748,708,654,92.40%,276,472,0,107,286,462,276,256,256,100.00%,109,83,36,81,195,472,472,452,398,88.10%,71,205,267,0,0,0,0,0.00%,0,653,653,653,510,78.10%,467,55,173,480
CT-503,454,445,331,74.40%,229,225,0,50,194,260,229,229,185,80.80%,4,21,27,118,111,225,225,216,146,67.60%,23,76,149,0,0,0,0,0.00%,0,776,776,770,665,86.40%,286,125,399,377
CT-505,"1,161",992,938,94.60%,740,421,0,174,579,582,740,647,613,94.70%,90,62,106,352,388,421,421,345,325,94.20%,68,227,194,0,0,0,0,0.00%,0,"1,136","1,136","1,113",920,82.70%,463,163,451,685
CT-506,141,129,129,100.00%,141,0,0,11,56,85,141,129,129,100.00%,3,59,11,56,85,0,0,0,0,0.00%,0,0,0,0,0,0,0,0.00%,0,171,171,171,167,97.70%,93,11,30,141
CT-508,229,214,203,94.90%,100,129,0,36,86,143,100,85,85,100.00%,14,27,5,15,85,129,129,129,118,91.50%,31,71,58,0,0,0,0,0.00%,0,141,141,141,141,100.00%,33,8,34,107
CT-509,118,82,82,100.00%,87,31,0,16,44,74,87,67,67,100.00%,21,0,10,30,57,31,31,15,15,100.00%,6,14,17,0,0,0,0,0.00%,0,238,238,198,187,94.40%,39,61,149,89
CT-510,68,68,68,100.00%,25,43,0,11,36,32,25,25,25,100.00%,0,0,1,6,19,43,43,43,43,100.00%,10,30,13,0,0,0,0,0.00%,0,52,52,52,52,100.00%,20,11,32,20
CT-512,170,156,156,100.00%,170,0,0,24,90,80,170,156,156,100.00%,0,30,24,90,80,0,0,0,0,0.00%,0,0,0,0,0,0,0,0.00%,0,305,305,305,299,98.00%,67,57,185,120
DC-500,"6,375","6,300","5,449",86.50%,"3,471","2,879",25,864,"2,661","3,714","3,471","3,413","3,287",96.30%,573,0,321,"1,001","2,470","2,879","2,879","2,862","2,137",74.70%,543,"1,660","1,219",25,25,25,25,100.00%,25,"4,832","4,832","4,796","2,659",55.40%,"2,286",470,"1,632","3,200"
DE-500,"1,233","1,163",739,63.50%,530,693,10,155,490,743,530,460,304,66.10%,125,155,64,197,333,693,693,693,425,61.30%,91,293,400,10,10,10,10,100.00%,10,365,365,365,283,77.50%,153,14,35,330
FL-500,"1,005",920,492,53.50%,429,576,0,74,205,800,429,368,315,85.60%,0,11,31,95,334,576,576,552,177,32.10%,43,110,466,0,0,0,0,0.00%,0,310,310,310,22,7.10%,46,2,12,298
FL-501,"1,159","1,009",612,60.70%,349,785,25,155,489,670,349,247,156,63.20%,0,0,37,90,259,785,785,737,431,58.50%,118,399,386,25,25,25,25,100.00%,25,682,682,682,276,40.50%,62,121,322,360
FL-502,"1,974","1,756","1,388",79.00%,991,938,45,148,528,"1,446",991,925,868,93.80%,0,38,66,250,741,938,938,786,475,60.40%,82,278,660,45,45,45,45,100.00%,45,322,322,322,274,85.10%,83,20,73,249
FL-503,552,526,454,86.30%,255,297,0,57,226,326,255,229,157,68.60%,0,115,17,68,187,297,297,297,297,100.00%,40,158,139,0,0,0,0,0.00%,0,69,69,69,59,85.50%,20,28,49,20
FL-504,616,468,468,100.00%,107,509,0,87,389,227,107,50,50,100.00%,33,0,9,31,76,509,509,418,418,100.00%,78,358,151,0,0,0,0,0.00%,0,113,113,113,112,99.10%,50,16,54,59
FL-505,320,276,190,68.80%,140,180,0,56,156,164,140,112,104,92.90%,130,20,30,84,56,180,180,164,86,52.40%,26,72,108,0,0,0,0,0.00%,0,47,47,47,47,100.00%,47,0,0,47
FL-506,811,682,462,67.70%,356,455,0,104,350,461,356,299,220,73.60%,0,124,51,155,201,455,455,383,242,63.20%,53,195,260,0,0,0,0,0.00%,0,376,376,376,376,100.00%,116,50,240,136
FL-507,"2,508","2,253","1,768",78.50%,"1,076","1,407",25,288,"1,053","1,455","1,076",888,783,88.20%,0,290,93,361,715,"1,407","1,407","1,340",960,71.60%,195,692,715,25,25,25,25,100.00%,25,740,740,740,132,17.80%,82,22,56,684
FL-508,420,324,243,75.00%,202,218,0,52,156,264,202,144,81,56.30%,100,36,20,74,128,218,218,180,162,90.00%,32,82,136,0,0,0,0,0.00%,0,232,232,232,173,74.60%,86,20,70,162
FL-509,249,201,201,100.00%,143,106,0,59,193,56,143,95,95,100.00%,18,0,30,87,56,106,106,106,106,100.00%,29,106,0,0,0,0,0,0.00%,0,146,146,146,146,100.00%,132,4,7,139
FL-510,"2,265","2,111","1,387",65.70%,802,"1,463",0,237,685,"1,580",802,660,590,89.40%,0,436,92,295,507,"1,463","1,463","1,451",797,54.90%,145,390,"1,073",0,0,0,0,0.00%,0,808,808,808,704,87.10%,181,44,67,741
FL-511,659,588,512,87.10%,200,459,0,61,284,375,200,129,101,78.30%,0,36,22,110,90,459,459,459,411,89.50%,39,174,285,0,0,0,0,0.00%,0,191,191,191,161,84.30%,75,0,0,191
FL-512,198,126,122,96.80%,76,122,0,74,144,54,76,28,28,100.00%,0,50,10,40,36,122,122,98,94,95.90%,64,104,18,0,0,0,0,0.00%,0,63,63,63,0,0.00%,0,0,0,63
FL-513,735,715,571,79.90%,146,589,0,96,410,325,146,126,54,42.90%,126,0,7,37,109,589,589,589,517,87.80%,89,373,216,0,0,0,0,0.00%,0,137,137,137,137,100.00%,43,31,92,45
FL-514,741,673,534,79.30%,187,554,0,28,164,577,187,119,119,100.00%,0,0,4,84,103,554,554,554,415,74.90%,24,80,474,0,0,0,0,0.00%,0,89,89,89,9,10.10%,3,0,0,89
FL-515,267,235,231,98.30%,105,162,0,30,102,165,105,73,73,100.00%,16,33,9,38,67,162,162,162,158,97.50%,21,64,98,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
FL-516,78,78,65,83.30%,8,70,0,18,48,30,8,8,0,0.00%,0,0,0,0,8,70,70,70,65,92.90%,18,48,22,0,0,0,0,0.00%,0,18,18,18,18,100.00%,0,4,12,6
FL-517,141,141,16,11.30%,68,73,0,13,36,105,68,68,0,0.00%,0,0,3,8,60,73,73,73,16,21.90%,10,28,45,0,0,0,0,0.00%,0,144,144,144,68,47.20%,28,20,68,76
FL-518,105,55,55,100.00%,54,51,0,4,50,55,54,12,12,100.00%,0,0,2,42,12,51,51,43,43,100.00%,2,8,43,0,0,0,0,0.00%,0,11,11,11,11,100.00%,11,0,0,11
FL-519,114,58,58,100.00%,108,6,0,23,50,64,108,52,52,100.00%,0,0,23,50,58,6,6,6,6,100.00%,0,0,6,0,0,0,0,0.00%,0,138,138,138,138,100.00%,0,47,123,15
FL-520,388,270,208,77.00%,180,208,0,46,176,212,180,68,12,17.60%,95,16,28,123,57,208,208,202,196,97.00%,18,53,155,0,0,0,0,0.00%,0,81,81,81,67,82.70%,14,5,14,67
FL-600,"3,596","3,096","1,979",63.90%,"1,593","1,975",28,391,"1,637","1,959","1,593","1,464","1,042",71.20%,0,393,154,686,907,"1,975","1,975","1,604",909,56.70%,237,951,"1,024",28,28,28,28,100.00%,28,"2,636","2,636","2,636","2,633",99.90%,562,382,"1,243","1,393"
FL-601,"2,342","2,280","1,325",58.10%,764,"1,543",35,224,700,"1,642",764,702,632,90.00%,0,540,53,230,534,"1,543","1,543","1,543",658,42.60%,171,470,"1,073",35,35,35,35,100.00%,35,"1,829","1,829","1,422",986,69.30%,292,424,"1,284",545
FL-602,217,198,184,92.90%,60,157,0,32,85,132,60,54,54,100.00%,0,0,13,34,26,157,157,144,130,90.30%,19,51,106,0,0,0,0,0.00%,0,66,66,66,51,77.30%,66,0,0,66
FL-603,453,373,303,81.20%,222,231,0,30,114,339,222,142,122,85.90%,0,0,26,102,120,231,231,231,181,78.40%,4,12,219,0,0,0,0,0.00%,0,170,170,170,123,72.40%,59,5,11,159
FL-604,431,373,373,100.00%,244,187,0,31,104,327,244,186,186,100.00%,0,60,17,56,188,187,187,187,187,100.00%,14,48,139,0,0,0,0,0.00%,0,161,161,161,161,100.00%,51,10,26,135
FL-605,752,564,495,87.80%,387,351,14,75,311,441,387,277,263,94.90%,0,113,55,219,168,351,351,273,218,79.90%,20,92,259,14,14,14,14,100.00%,14,607,607,607,607,100.00%,87,100,406,201
FL-606,266,182,154,84.60%,166,100,0,29,110,156,166,142,138,97.20%,0,49,14,47,119,100,100,40,16,40.00%,15,63,37,0,0,0,0,0.00%,0,72,72,72,56,77.80%,0,8,16,56
GA-500,"5,004","4,900","3,929",80.20%,"2,009","2,995",0,394,"1,607","3,397","2,009","1,951","1,783",91.40%,312,182,81,318,"1,691","2,995","2,995","2,949","2,146",72.80%,313,"1,289","1,706",0,0,0,0,0.00%,0,"2,066","2,066","2,066","1,537",74.40%,267,227,780,"1,286"
GA-501,"2,647","1,604","1,348",84.00%,"1,368","1,279",0,534,"1,800",847,"1,368",727,603,82.90%,0,30,227,760,608,"1,279","1,279",877,745,84.90%,307,"1,040",239,0,0,0,0,0.00%,0,"1,414","1,414","1,378","1,254",91.00%,257,330,797,617
GA-503,242,226,137,60.60%,121,121,0,37,117,125,121,105,68,64.80%,31,14,15,43,78,121,121,121,69,57.00%,22,74,47,0,0,0,0,0.00%,0,77,77,77,77,100.00%,60,6,17,60
GA-504,489,489,294,60.10%,280,209,0,52,150,339,280,280,132,47.10%,0,0,23,78,202,209,209,209,162,77.50%,29,72,137,0,0,0,0,0.00%,0,82,82,82,67,81.70%,0,16,38,44
GA-505,294,251,95,37.80%,224,70,0,22,91,203,224,181,53,29.30%,6,5,21,83,141,70,70,70,42,60.00%,1,8,62,0,0,0,0,0.00%,0,161,161,161,133,82.60%,39,0,0,161
GA-506,404,331,321,97.00%,122,282,0,85,245,159,122,90,90,100.00%,0,51,22,60,62,282,282,241,231,95.90%,63,185,97,0,0,0,0,0.00%,0,93,93,93,93,100.00%,30,6,20,73
GA-507,885,837,741,88.50%,506,379,0,68,252,633,506,458,362,79.00%,30,0,14,90,416,379,379,379,379,100.00%,54,162,217,0,0,0,0,0.00%,0,498,498,498,384,77.10%,41,94,308,190
GU-500,240,177,172,97.20%,93,147,0,35,147,93,93,38,38,100.00%,0,7,10,39,54,147,147,139,134,96.40%,25,108,39,0,0,0,0,0.00%,0,88,88,88,88,100.00%,55,9,33,55
HI-500,903,795,795,100.00%,326,577,0,171,650,253,326,238,238,100.00%,0,0,57,201,125,577,577,557,557,100.00%,114,449,128,0,0,0,0,0.00%,0,197,197,197,177,89.80%,100,20,60,137
HI-501,"3,356","3,260","3,222",98.80%,"1,144","2,187",25,608,"2,291","1,065","1,144","1,068","1,030",96.40%,0,64,145,624,520,"2,187","2,187","2,167","2,167",100.00%,463,"1,667",520,25,25,25,25,100.00%,25,854,854,854,738,86.40%,244,49,183,671
IA-500,463,251,128,51.00%,178,285,0,116,286,177,178,148,29,19.60%,0,0,15,47,131,285,285,103,99,96.10%,101,239,46,0,0,0,0,0.00%,0,7,7,7,7,100.00%,3,0,0,7
IA-501,"2,352","1,897","1,550",81.70%,"1,011","1,341",0,418,"1,475",877,"1,011",614,436,71.00%,59,38,136,512,499,"1,341","1,341","1,283","1,114",86.80%,282,963,378,0,0,0,0,0.00%,0,387,387,387,313,80.90%,76,47,151,236
